GSS code,Council name,Maps of urban areas (town and city/ward/ boundaries),"Road restrictions (bridge heights, weight limits etc",Parking restrictions,Planned roadworks,Real time congestion information,Historical congestion information,Electrical Vehicle Charging points,Air quality,Public rights of ways (cycle routes etc),Public car parks,Parcel collection points,Parcel drop-off points,"Active Travel (shared use, walking and cycling for everyday journeys)",Primary Shopping areas,Town Centres,Car Sharing,Enterprise Zones,Reference to open data?,Open Data Score
W06000001,Isle of Anglesey Council,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,1.85%
W06000002,Gwynedd Council,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.85%
W06000003,Conwy County Borough Council,0,0.5,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,3.70%
W06000004,Denbighshire Council,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,2.78%
W06000005,Flintshire County Council,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93%
W06000006,Wrexham County Borough Council,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,2.78%
W06000008,Ceredigion County Council,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93%
W06000009,Pembrokeshire Council,0,0,0,0.5,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0.5,5.56%
W06000010,Carmarthenshire County Council,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.93%
W06000011,City & County of Swansea,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.93%
W06000012,Neath Port Talbot Council,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0.5,0,0,0,0,0,2.78%
W06000013,Bridgend County Borough Council,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,1.85%
W06000014,Vale of Glamorgan,0,0,0,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,1.85%
W06000015,Cardiff Council,0,0,0,0.5,0,0,0,0.5,0,2,0,0,0,0,0,0,0,2,9.26%
W06000016,Rhondda Cynon Taf County Borough Council,0,0,0,0.5,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0.5,3.70%
W06000018,Caerphilly County Borough Council,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0.5,3.70%
W06000019,Blaenau Gwent County Borough,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,2.78%
W06000020,Torfaen County Borough,0,0,0,0.5,0,0,0,0.5,0.5,0.5,0,0,0.5,0,0,0,0,0.5,5.56%
W06000021,Monmouthshire Council,0,0,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.5,2.78%
W06000022,Newport Council,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.93%
W06000023,Powys County Council,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0,0,0,0,2.78%
W06000024,Merthyr Tydfil Council,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.5,2.78%